,phrase,label,sentiment,subjectivity,language,count
"The White Lotus""-Staffel","The White Lotus""-Staffel",MISC,,,de,2
"Stürme, Überflutungen und Hitzewellen","Stürme, Überflutungen und Hitzewellen",MISC,,,de,2
Deutsche lieben,Deutsche lieben,MISC,,,de,2
Frankfurter,Frankfurter,MISC,,,de,2
Staatszerfall,Staatszerfall,MISC,,,de,2
Euro,Euro,MISC,,,de,2
Britische,Britische,MISC,,,de,2
englischen,englischen,MISC,,,de,2
Golfstrom-System,Golfstrom-System,MISC,,,de,2
BMW Vision,BMW Vision,MISC,,,de,2
BMW i3,BMW i3,MISC,,,de,2
nigerianischen,nigerianischen,MISC,,,de,2
spanischen,spanischen,MISC,,,de,2
Generation Z,Generation Z,MISC,,,de,2
Biathlon-WM,Biathlon-WM,MISC,,,de,2
italienischen,italienischen,MISC,,,de,2
Pixel 9a,Pixel 9a,MISC,,,de,2
Nordische WM,Nordische WM,MISC,,,de,2
Champions League,Champions League,MISC,,,de,2
Klima-Aktivistin,Klima-Aktivistin,MISC,,,de,2
Im Jahr 1914,Im Jahr 1914,MISC,,,de,2
Das Eis am Ende der Welt schmilzt,Das Eis am Ende der Welt schmilzt,MISC,,,de,2
Leserfoto des Tages,Leserfoto des Tages,MISC,,,de,2
Strom-Überangebot,Strom-Überangebot,MISC,,,de,2
Wetterbilanz,Wetterbilanz,MISC,,,de,2
The Walking Dead“-Fortsetzung,The Walking Dead“-Fortsetzung,MISC,,,de,2
Maggie und,Maggie und,MISC,,,de,2
Nature Medicine,Nature Medicine,MISC,,,de,2
Tag über…,Tag über…,MISC,,,de,2
europäischen,europäischen,MISC,,,de,2
Klimatote,Klimatote,MISC,,,de,2
Plänen von Union,Plänen von Union,MISC,,,de,2
Google-Smartphones Pixel 9a,Google-Smartphones Pixel 9a,MISC,,,de,2
indischer,indischer,MISC,,,de,2
GPT-4,GPT-4,MISC,,,de,2
Kriegswirren des Assad-Regimes,Kriegswirren des Assad-Regimes,MISC,,,de,2
Lesen Sie jetzt „Viel Sonne,Lesen Sie jetzt „Viel Sonne,MISC,,,de,2
S…,S…,MISC,-0.175,0.0,de,2
U-21-Europameisterschaft,U-21-Europameisterschaft,MISC,,,de,2
Mova P50 Pro Ultra,Mova P50 Pro Ultra,MISC,,,de,2
Lange Zeit,Lange Zeit,MISC,,,de,2
russischen Angriffskrieg,russischen Angriffskrieg,MISC,,,de,2
bayerischen,bayerischen,MISC,,,de,2
Mainzer,Mainzer,MISC,,,de,2
russischer,russischer,MISC,,,de,2
Mann des Abends,Mann des Abends,MISC,,,de,2
spanische,spanische,MISC,,,de,2
Zwei-Tore-Rückstand,Zwei-Tore-Rückstand,MISC,,,de,2
Nachts,Nachts,MISC,,,de,2
Ski-WM in Saalbach-Hinterglemm,Ski-WM in Saalbach-Hinterglemm,MISC,,,de,2
britische,britische,MISC,,,de,2
Estnische,Estnische,MISC,,,de,2
Nations League,Nations League,MISC,,,de,2
demokratischen,demokratischen,MISC,,,de,2
Amon-Ra St. Brown,Amon-Ra St. Brown,MISC,,,de,2
Streaming und Fernsehen,Streaming und Fernsehen,MISC,,,de,2
Herd Deoflaschen,Herd Deoflaschen,MISC,,,de,2
Lesen Sie jetzt „Statistik,Lesen Sie jetzt „Statistik,MISC,,,de,2
Deutschland Klimaflüchtenden,Deutschland Klimaflüchtenden,MISC,,,de,2
Extra-Pflege,Extra-Pflege,MISC,,,de,2
Lesen Sie jetzt „Raumsonde,Lesen Sie jetzt „Raumsonde,MISC,,,de,2
Formel-1-Abenteuer,Formel-1-Abenteuer,MISC,,,de,2
sozialen,sozialen,MISC,,,de,2
Tag des Jahres,Tag des Jahres,MISC,,,de,2
X,X,MISC,,,de,2
Home of Chocolate,Home of Chocolate,MISC,,,de,2
amerikanischen,amerikanischen,MISC,,,de,2
Global Water Monitor,Global Water Monitor,MISC,,,de,2
Bundles,Bundles,MISC,,,de,2
Klimaanlagen,Klimaanlagen,MISC,,,de,2
streifenfreier Glanz,streifenfreier Glanz,MISC,,,de,2
Klima-Heldentaten,Klima-Heldentaten,MISC,,,de,2
Die große Angst,Die große Angst,MISC,,,de,2
Radeon-RX-8000-Serie,Radeon-RX-8000-Serie,MISC,,,de,2
Solstice,Solstice,MISC,,,de,2
RDNA 4,RDNA 4,MISC,,,de,2
Sturm,Sturm,MISC,,,de,2
Hebräisch,Hebräisch,MISC,,,de,2
AMD,AMD,MISC,,,de,2
Ungemütliches,Ungemütliches,MISC,,,de,2
chinesischen,chinesischen,MISC,,,de,2
Schatten über dem Arbeitsmarkt,Schatten über dem Arbeitsmarkt,MISC,,,de,2
Frieden im Jahr der Sonne,Frieden im Jahr der Sonne,MISC,,,de,2
Survival-Spiele,Survival-Spiele,MISC,,,de,2
DayZ,DayZ,MISC,,,de,2
Reich der Mitte,Reich der Mitte,MISC,,,de,2
Rekord im All,Rekord im All,MISC,,,de,2
griechischen,griechischen,MISC,,,de,2
Die blaue Eminenz,Die blaue Eminenz,MISC,,,de,2
CO2-Budget,CO2-Budget,MISC,,,de,2
US-Forschern,US-Forschern,MISC,,,de,2
Grönlands Eis,Grönlands Eis,MISC,,,de,2
Der letzte Bulle,Der letzte Bulle,MISC,,,de,2
Sturzes von Assad,Sturzes von Assad,MISC,,,de,2
Lesen Sie jetzt „Report,Lesen Sie jetzt „Report,MISC,,,de,2
Gaza-Krieges,Gaza-Krieges,MISC,,,de,2
europäische,europäische,MISC,,,de,2
RTL-Soap,RTL-Soap,MISC,,,de,2
Game of Thrones,Game of Thrones,MISC,,,de,2
Das neue Google Pixel Tablet,Das neue Google Pixel Tablet,MISC,,,de,1
Ben & Jerry's,Ben & Jerry's,MISC,,,de,1
Fön,Fön,MISC,,,de,1
Klimaretter Ozean,Klimaretter Ozean,MISC,,,de,1
März,März,MISC,,,de,1
GreenIT,GreenIT,MISC,,,de,1
Die Sonne lacht,Die Sonne lacht,MISC,,,de,1
Türkis-Rot-Pink,Türkis-Rot-Pink,MISC,,,de,1
Lesen Sie jetzt „Sonne zur Fastnacht,Lesen Sie jetzt „Sonne zur Fastnacht,MISC,,,de,1
Die nächste Welle,Die nächste Welle,MISC,,,de,1
CO₂-Speichern,CO₂-Speichern,MISC,,,de,1
ElektroPop,ElektroPop,MISC,,,de,1
Lesen Sie jetzt „Den Narren lacht die Sonne,Lesen Sie jetzt „Den Narren lacht die Sonne,MISC,,,de,1
Milliardäre,Milliardäre,MISC,,,de,1
Google Tablet,Google Tablet,MISC,,,de,1
Ju…,Ju…,MISC,,,de,1
Untreue im Urlaub,Untreue im Urlaub,MISC,,,de,1
Lesen Sie jetzt „Bis zu 19 Grad und Sonnenschein,Lesen Sie jetzt „Bis zu 19 Grad und Sonnenschein,MISC,,,de,1
Ski-Weltcup,Ski-Weltcup,MISC,,,de,1
Lesen Sie jetzt „Wenn die Sonne,Lesen Sie jetzt „Wenn die Sonne,MISC,,,de,1
baden-württembergischen,baden-württembergischen,MISC,,,de,1
Lesen Sie jetzt „Karte,Lesen Sie jetzt „Karte,MISC,,,de,1
Chinas Tech-Boom,Chinas Tech-Boom,MISC,,,de,1
Everybody Loves Th…,Everybody Loves Th…,MISC,,,de,1
Hochdruckeinf,Hochdruckeinf,MISC,,,de,1
Lesen Sie jetzt „Frühling,Lesen Sie jetzt „Frühling,MISC,,,de,1
Werther,Werther,MISC,,,de,1
Lesen Sie jetzt „Mehr Sonne,Lesen Sie jetzt „Mehr Sonne,MISC,,,de,1
Die Welt,Die Welt,MISC,,,de,1
Lesen Sie jetzt „Strahlend blauer Himmel und Sonne,Lesen Sie jetzt „Strahlend blauer Himmel und Sonne,MISC,,,de,1
Europäische,Europäische,MISC,,,de,1
Lesen Sie jetzt „Sonnenschein und Temperaturen,Lesen Sie jetzt „Sonnenschein und Temperaturen,MISC,,,de,1
transatlantische,transatlantische,MISC,,,de,1
Klimaanlagen-Teufelskreis,Klimaanlagen-Teufelskreis,MISC,,,de,1
Blick aufs Wochenende: Sonne,Blick aufs Wochenende: Sonne,MISC,,,de,1
Das Wetter in Deutschland,Das Wetter in Deutschland,MISC,,,de,1
Die Hessinnen,Die Hessinnen,MISC,,,de,1
He…,He…,MISC,,,de,1
Januarmorgen,Januarmorgen,MISC,,,de,1
Lesen Sie jetzt „Bis zu 19 Grad und viel Sonnenschein im Land,Lesen Sie jetzt „Bis zu 19 Grad und viel Sonnenschein im Land,MISC,,,de,1
Lesen Sie jetzt „Viel Sonnenschein,Lesen Sie jetzt „Viel Sonnenschein,MISC,,,de,1
Lesen Sie jetzt „Sonnenschein und Pollenflug,Lesen Sie jetzt „Sonnenschein und Pollenflug,MISC,,,de,1
Kohleausstiegs,Kohleausstiegs,MISC,,,de,1
Lesen Sie jetzt „Nachhaltige Landwirtschaft,Lesen Sie jetzt „Nachhaltige Landwirtschaft,MISC,,,de,1
Wettkampfs,Wettkampfs,MISC,,,de,1
Echo,Echo,MISC,,,de,1
Google Pixel Tablets,Google Pixel Tablets,MISC,,,de,1
Anreizprogramm,Anreizprogramm,MISC,,,de,1
Vesuv-Ausbruch,Vesuv-Ausbruch,MISC,,,de,1
Steigender Strombedarf,Steigender Strombedarf,MISC,,,de,1
Im Schatten,Im Schatten,MISC,,,de,1
KOMMENTAR,KOMMENTAR,MISC,,,de,1
Der Wunsch des am Nachmittag,Der Wunsch des am Nachmittag,MISC,,,de,1
Preis der Leipziger Buchmesse,Preis der Leipziger Buchmesse,MISC,,,de,1
Leben im Schatten,Leben im Schatten,MISC,,,de,1
Bundestagswahl am Sonntag,Bundestagswahl am Sonntag,MISC,,,de,1
Wahlnachlese,Wahlnachlese,MISC,,,de,1
Lesen Sie jetzt „Weichmacher,Lesen Sie jetzt „Weichmacher,MISC,,,de,1
Hamburger Senat,Hamburger Senat,MISC,,,de,1
Operation Warp Speed,Operation Warp Speed,MISC,,,de,1
Biathlon-WM 2025,Biathlon-WM 2025,MISC,,,de,1
COP16,COP16,MISC,,,de,1
Lesen Sie jetzt „Leichter Regen und Schauer,Lesen Sie jetzt „Leichter Regen und Schauer,MISC,,,de,1
Leak,Leak,MISC,,,de,1
Bundestagswahl: Wahlnachwehen,Bundestagswahl: Wahlnachwehen,MISC,,,de,1
Das Wetter,Das Wetter,MISC,,,de,1
Holocaust-Überlebenden,Holocaust-Überlebenden,MISC,,,de,1
Ö,Ö,MISC,,,de,1
The German Hebräisch,The German Hebräisch,MISC,,,de,1
White Lotus,White Lotus,MISC,,,de,1
Lesen Sie die Reaktionen der Börse,Lesen Sie die Reaktionen der Börse,MISC,,,de,1
Dax,Dax,MISC,,,de,1
Pelikan Blue,Pelikan Blue,MISC,,,de,1
Krieges,Krieges,MISC,,,de,1
Gen Z,Gen Z,MISC,,,de,1
Klimawandel-Wahlempfehlung 6,Klimawandel-Wahlempfehlung 6,MISC,,,de,1
Lesen Sie jetzt „Wann,Lesen Sie jetzt „Wann,MISC,,,de,1
SRF-Serie,SRF-Serie,MISC,,,de,1
Winter-CSD,Winter-CSD,MISC,,,de,1
Zwei Jahre nach dem Ende,Zwei Jahre nach dem Ende,MISC,,,de,1
Leipziger Buchmesse,Leipziger Buchmesse,MISC,,,de,1
More-Meilen,More-Meilen,MISC,,,de,1
Gewinnerbücher,Gewinnerbücher,MISC,,,de,1
Miles & More“-Meilen,Miles & More“-Meilen,MISC,,,de,1
Grok3,Grok3,MISC,,,de,1
Das neue Claude 3.7 Sonnet von Anthropic,Das neue Claude 3.7 Sonnet von Anthropic,MISC,,,de,1
Chat GPT,Chat GPT,MISC,,,de,1
La grande Suff,La grande Suff,MISC,0.0,0.0,de,1
Amazon-,Amazon-,MISC,,,de,1
Kein Suff für Nazis,Kein Suff für Nazis,MISC,,,de,1
Suffköppen,Suffköppen,MISC,,,de,1
Swisscom-Konkurrent Sunrise,Swisscom-Konkurrent Sunrise,MISC,,,de,1
Staffel,Staffel,MISC,,,de,1
Telekom-Unternehmens,Telekom-Unternehmens,MISC,,,de,1
Die Leiche im,Die Leiche im,MISC,,,de,1
Google Pixel Tablet,Google Pixel Tablet,MISC,,,de,1
Bergstati,Bergstati,MISC,,,de,1
Diethylamino-hydroxybenzoyl-hexyl-benzoat,Diethylamino-hydroxybenzoyl-hexyl-benzoat,MISC,,,de,1
Winter in Deutschland,Winter in Deutschland,MISC,,,de,1
Deutscher Wetterdienst,Deutscher Wetterdienst,MISC,,,de,1
Lesen Sie jetzt „Studie,Lesen Sie jetzt „Studie,MISC,,,de,1
Ohne Smartphone,Ohne Smartphone,MISC,,,de,1
Early Days Collection da!,Early Days Collection da!,MISC,,,de,1
Reich der Schatten,Reich der Schatten,MISC,,,de,1
EU-Wahlen im Jahr 2024,EU-Wahlen im Jahr 2024,MISC,,,de,1
Klimawandelleugnern,Klimawandelleugnern,MISC,,,de,1
Fake News,Fake News,MISC,,,de,1
Bürger,Bürger,MISC,1.0,0.0,de,1
Alles Humbug!,Alles Humbug!,MISC,,,de,1
Trading Card Games,Trading Card Games,MISC,,,de,1
Der Schatten der Ära,Der Schatten der Ära,MISC,,,de,1
Gamevasion,Gamevasion,MISC,,,de,1
transatlantischen,transatlantischen,MISC,,,de,1
Nächste Woche,Nächste Woche,MISC,,,de,1
MOVA,MOVA,MISC,,,de,1
Weltwas,Weltwas,MISC,,,de,1
MSI,MSI,MISC,,,de,1
Der Mann in,Der Mann in,MISC,,,de,1
Lesen Sie jetzt „Noch mal Sonne,Lesen Sie jetzt „Noch mal Sonne,MISC,,,de,1
März so heiß,März so heiß,MISC,,,de,1
Der Frühling,Der Frühling,MISC,,,de,1
Spray,Spray,MISC,,,de,1
Gesetz gegen die Klimakrise,Gesetz gegen die Klimakrise,MISC,,,de,1
Klimaabkommens von Paris,Klimaabkommens von Paris,MISC,,,de,1
Cre,Cre,MISC,,,de,1
italienischer,italienischer,MISC,,,de,1
Google-Smartphones,Google-Smartphones,MISC,,,de,1
Kl… [,Kl… [,MISC,,,de,1
Pixel 10,Pixel 10,MISC,,,de,1
App-Tipp,App-Tipp,MISC,,,de,1
Sp…,Sp…,MISC,,,de,1
Lesen Sie jetzt „Spargelbauern,Lesen Sie jetzt „Spargelbauern,MISC,,,de,1
u…,u…,MISC,,,de,1
Neue digitale Hilfe,Neue digitale Hilfe,MISC,,,de,1
Klub-WM be…,Klub-WM be…,MISC,,,de,1
Lesen Sie jetzt „Kommunalwahlen,Lesen Sie jetzt „Kommunalwahlen,MISC,,,de,1
Lesen Sie jetzt „Waldbrandgefahr früh im Jahr,Lesen Sie jetzt „Waldbrandgefahr früh im Jahr,MISC,,,de,1
BVB-Profi Beier,BVB-Profi Beier,MISC,,,de,1
Earth Hour,Earth Hour,MISC,,,de,1
U21,U21,MISC,,,de,1
Reichsparteitagsgelände,Reichsparteitagsgelände,MISC,,,de,1
Fridays for Future,Fridays for Future,MISC,,,de,1
Technik-Upgrade,Technik-Upgrade,MISC,,,de,1
Die Glühbirne,Die Glühbirne,MISC,,,de,1
Lesen Sie jetzt „Wolken,Lesen Sie jetzt „Wolken,MISC,,,de,1
Kana,Kana,MISC,,,de,1
Mehr Power,Mehr Power,MISC,,,de,1
Highlights am Himmel,Highlights am Himmel,MISC,,,de,1
MSI MAG CORELIQUID A15 Serie,MSI MAG CORELIQUID A15 Serie,MISC,,,de,1
Lesen Sie jetzt „Verband:,Lesen Sie jetzt „Verband:,MISC,,,de,1
Abopreise,Abopreise,MISC,,,de,1
Netflix,Netflix,MISC,,,de,1
Lesen Sie jetzt „Die Aussichten: Milde Temperaturen,Lesen Sie jetzt „Die Aussichten: Milde Temperaturen,MISC,,,de,1
Eisige Zeitbomben,Eisige Zeitbomben,MISC,,,de,1
Lesen Sie jetzt „Eisblock,Lesen Sie jetzt „Eisblock,MISC,,,de,1
Tag mild…,Tag mild…,MISC,,,de,1
"Ein Kleinbauer
","Ein Kleinbauer
",MISC,,,de,1
peruanischen,peruanischen,MISC,,,de,1
Lesen Sie jetzt „Stauseen als Trinkwasserquelle,Lesen Sie jetzt „Stauseen als Trinkwasserquelle,MISC,,,de,1
Fall der Klimaklage,Fall der Klimaklage,MISC,,,de,1
Anden-Bauer,Anden-Bauer,MISC,,,de,1
Frühjahrslohnrunde – Verhandlung im Schatten der Rezession,Frühjahrslohnrunde – Verhandlung im Schatten der Rezession,MISC,,,de,1
Extreme Wetterereignisse,Extreme Wetterereignisse,MISC,,,de,1
Deutsche Wette,Deutsche Wette,MISC,,,de,1
Lesen Sie jetzt „Frost und Sonnenschein,Lesen Sie jetzt „Frost und Sonnenschein,MISC,,,de,1
Tipps & Tricks,Tipps & Tricks,MISC,,,de,1
Lesen Sie jetzt „Landwirt,Lesen Sie jetzt „Landwirt,MISC,,,de,1
Lesen Sie jetzt „Weltwetterbehörde,Lesen Sie jetzt „Weltwetterbehörde,MISC,,,de,1
Lesen Sie jetzt „Frühlingswetter:,Lesen Sie jetzt „Frühlingswetter:,MISC,,,de,1
Nintendo Switch,Nintendo Switch,MISC,,,de,1
Lesen Sie jetzt „Klimawandel vor Gericht,Lesen Sie jetzt „Klimawandel vor Gericht,MISC,,,de,1
BILD,BILD,MISC,,,de,1
Münchner,Münchner,MISC,,,de,1
CPU,CPU,MISC,,,de,1
Gaming-PCs,Gaming-PCs,MISC,,,de,1
Eiskalte,Eiskalte,MISC,,,de,1
TTS Player,TTS Player,MISC,,,de,1
Tag des Gletschers,Tag des Gletschers,MISC,,,de,1
Sonne dran,Sonne dran,MISC,,,de,1
Steam Sale,Steam Sale,MISC,,,de,1
P50 Pro Ultra,P50 Pro Ultra,MISC,,,de,1
Inside Südkorea,Inside Südkorea,MISC,,,de,1
Großen Hungersnot in,Großen Hungersnot in,MISC,,,de,1
Mann auf die Sonne,Mann auf die Sonne,MISC,,,de,1
Mehr Eis auf dem Mond,Mehr Eis auf dem Mond,MISC,,,de,1
Deutschem Wetterdien,Deutschem Wetterdien,MISC,,,de,1
Reasoning-Modellen,Reasoning-Modellen,MISC,,,de,1
Reasoning-Modelle,Reasoning-Modelle,MISC,,,de,1
Piwi-Sorten,Piwi-Sorten,MISC,,,de,1
Lesen Sie jetzt „Nach dem Nebel,Lesen Sie jetzt „Nach dem Nebel,MISC,,,de,1
sc…,sc…,MISC,,,de,1
Ein langes Sonnenbad,Ein langes Sonnenbad,MISC,,,de,1
Lesen Sie jetzt „Kühlere Temperaturen,Lesen Sie jetzt „Kühlere Temperaturen,MISC,,,de,1
Wolken statt Sonne,Wolken statt Sonne,MISC,,,de,1
Frühlings,Frühlings,MISC,,,de,1
Lesen Sie jetzt „Kühler und nass - Sonne,Lesen Sie jetzt „Kühler und nass - Sonne,MISC,,,de,1
russischem,russischem,MISC,,,de,1
russischen,russischen,MISC,,,de,1
Lesen Sie jetzt „Verbände,Lesen Sie jetzt „Verbände,MISC,,,de,1
Jud Süß,Jud Süß,MISC,,,de,1
Klassik Radio Selectstatt,Klassik Radio Selectstatt,MISC,,,de,1
MARKUS EBNER,MARKUS EBNER,MISC,,,de,1
Strahlender Sonnenschein,Strahlender Sonnenschein,MISC,,,de,1
Berliner Senat,Berliner Senat,MISC,,,de,1
Schnellkeimende Rasensamen,Schnellkeimende Rasensamen,MISC,,,de,1
Lesen Sie jetzt „Sonnenschein,Lesen Sie jetzt „Sonnenschein,MISC,,,de,1
Schlacht von Game of Thrones,Schlacht von Game of Thrones,MISC,,,de,1
House of the Dragon,House of the Dragon,MISC,,,de,1
Schlacht,Schlacht,MISC,,,de,1
M…,M…,MISC,,,de,1
Reinigungsrobotern,Reinigungsrobotern,MISC,,,de,1
SolarFlow Hyper 2000,SolarFlow Hyper 2000,MISC,,,de,1
Staatskrise im Schatten,Staatskrise im Schatten,MISC,,,de,1
Lesen Sie jetzt „Der lange Schatten,Lesen Sie jetzt „Der lange Schatten,MISC,,,de,1
The Walking,The Walking,MISC,,,de,1
Shadows of Forbidden Gods,Shadows of Forbidden Gods,MISC,,,de,1
Jud Süss,Jud Süss,MISC,,,de,1
So schön es klingt,So schön es klingt,MISC,,,de,1
Discover,Discover,MISC,,,de,1
Lesen Sie jetzt „Rund eine halbe Million Euro,Lesen Sie jetzt „Rund eine halbe Million Euro,MISC,,,de,1
Sonnenfinsternis,Sonnenfinsternis,MISC,0.0,0.0,de,1
Lesen Sie jetzt „Viele Wolken,Lesen Sie jetzt „Viele Wolken,MISC,,,de,1
MALLE,MALLE,MISC,,,de,1
Deutsche Kopiere,Deutsche Kopiere,MISC,,,de,1
News: Kingdom Come 2,News: Kingdom Come 2,MISC,,,de,1
Kingdom Come,Kingdom Come,MISC,,,de,1
Deliverance 2,Deliverance 2,MISC,,,de,1
BASIC,BASIC,MISC,,,de,1
CryEngine,CryEngine,MISC,,,de,1
Lesen Sie jetzt „Partielle Mondfinsternis,Lesen Sie jetzt „Partielle Mondfinsternis,MISC,,,de,1
Unreal Engine,Unreal Engine,MISC,,,de,1
Quellbewölk,Quellbewölk,MISC,,,de,1
Höchste Zeit,Höchste Zeit,MISC,,,de,1
ISS,ISS,MISC,,,de,1
Der Mond,Der Mond,MISC,,,de,1
Pizza,Pizza,MISC,,,de,1
Woran merkst du,Woran merkst du,MISC,,,de,1
Sonne tanken,Sonne tanken,MISC,,,de,1
Wechselhaftes Wetter - Aprilwetter,Wechselhaftes Wetter - Aprilwetter,MISC,,,de,1
Volksbankenverband,Volksbankenverband,MISC,,,de,1
Hitzerekorde,Hitzerekorde,MISC,,,de,1
The Walkin…,The Walkin…,MISC,,,de,1
